ID,Distance To Jita,Region,Constellation,Name,Security,Neighbors,Planets
30000194,10,The Forge,Etsala,Otsela,0.38,30000169:30000188:30000189:30000190:30000191:30000192,40012324:40012325:40012327:40012329:40012331:40012349:40012376:40012381
30000195,12,The Forge,Mivora,Tasti,0.28,30000164:30000196:30001720,40012387:40012389:40012392:40012394:40012416:40012435:40012458:40012460:40012463
30000196,13,The Forge,Mivora,Otosela,0.24,30000195:30000197:30000200,40012510:40012511:40012513:40012516:40012519:40012539:40012551:40012574:40012580
30000197,14,The Forge,Mivora,Uemon,0.20,30000196:30000198:30000199,40012583:40012584:40012585:40012587:40012590:40012593:40012597:40012598:40012613:40012616:40012637:40012659
30000198,15,The Forge,Mivora,Paala,0.13,30000197,40012664:40012665:40012667:40012671:40012682:40012685:40012691
30000199,15,The Forge,Mivora,Fuskunen,0.22,30000197:30003446,40012696:40012698:40012701:40012705:40012711:40012735:40012762:40012765
30000200,13,The Forge,Mivora,Akkio,0.16,30000196:30002062:30002475,40012771:40012772:40012774:40012775:40012777:40012794:40012798:40012801:40012809:40012825:40012833
30000201,11,The Forge,Orpana,Uchoshi,0.47,30000193:30000202:30000206,40012838:40012839:40012840:40012842:40012844:40012846:40012849:40012852:40012856:40012861:40012887:40012920
30000202,10,The Forge,Orpana,Mastakomon,0.46,30000201:30000203:30000204:30000207,40012922:40012923:40012924:40012926:40012927:40012928:40012931:40012934:40012937:40012941:40012943:40012951
30000203,11,The Forge,Orpana,Eruka,0.42,30000202:30000207,40012954:40012956:40012958:40012960:40012975:40012981:40012984:40012987:40013007:40013012
30000204,9,The Forge,Orpana,Ohkunen,0.38,30000202:30000205,40013017:40013020:40013022:40013024:40013038:40013063
30000205,8,The Forge,Orpana,Obe,0.35,30000204:30000250:30001448,40013068:40013069:40013070:40013074:40013078:40013082
30000206,12,The Forge,Orpana,Wirashoda,0.49,30000201,40013087:40013088:40013090:40013092:40013093:40013095:40013100:40013119:40013128
30000207,11,The Forge,Orpana,Osaa,0.33,30000192:30000202:30000203,40013131:40013133:40013136:40013139:40013157:40013174:40013176
30000208,18,Vale of the Silent,U29-0S,LZ-6SU,-0.17,30000211:30000213:30000214,40013181:40013183:40013186:40013188:40013191:40013194:40013201:40013209:40013213:40013231:40013260
30000209,16,Vale of the Silent,U29-0S,MC6O-F,-0.28,30000212:30000214:30000242,40013262:40013263:40013265:40013267:40013269:40013274:40013279:40013297:40013302
30000210,18,Vale of the Silent,U29-0S,U54-1L,-0.27,30000212:30000222,40013308:40013310:40013311:40013312:40013313:40013315:40013316:40013319:40013332:40013367:40013371
30000211,19,Vale of the Silent,U29-0S,B-588R,-0.15,30000208:30000213,40013376:40013377:40013378:40013380:40013384:40013404:40013425:40013452:40013456
30000212,17,Vale of the Silent,U29-0S,NCGR-Q,-0.26,30000209:30000210:30000214:30000289,40013487:40013489:40013491:40013494:40013506:40013530:40013559
30000213,19,Vale of the Silent,U29-0S,G-LOIT,-0.16,30000208:30000211:30000268,40013563:40013565:40013567:40013592:40013613:40013634:40013637:40013644
30000214,17,Vale of the Silent,U29-0S,HE-V4V,-0.21,30000208:30000209:30000212,40013679:40013680:40013683:40013685:40013687:40013690:40013693:40013708:40013725:40013738:40013773
30000215,15,Vale of the Silent,BUG6-X,N-HSK0,-0.36,30000216:30000217:30000219:30000251,40013789:40013790:40013792:40013796:40013798:40013802:40013808
30000216,16,Vale of the Silent,BUG6-X,05R-7A,-0.40,30000215:30000219:30000221,40013815:40013816:40013817:40013819:40013823:40013827:40013830:40013833:40013838:40013841
30000217,16,Vale of the Silent,BUG6-X,7-UH4Z,-0.36,30000215:30000218:30000220:30000221,40013845:40013847:40013850:40013852:40013854:40013856:40013877:40013897:40013935
30000218,17,Vale of the Silent,BUG6-X,5ZO-NZ,-0.30,30000217,40013940:40013942:40013945:40013946:40013948:40013950:40013954:40013975:40013996
30000219,16,Vale of the Silent,BUG6-X,FS-RFL,-0.37,30000215:30000216,40014001:40014002:40014004:40014005:40014008:40014012:40014034:40014058
30000220,17,Vale of the Silent,BUG6-X,Y0-BVN,-0.44,30000217,40014064:40014066:40014068:40014070:40014072:40014074:40014078:40014081:40014106
30000221,17,Vale of the Silent,BUG6-X,X97D-W,-0.43,30000216:30000217,40014124:40014126:40014131:40014148:40014168:40014171:40014199
30000222,19,Vale of the Silent,OSJ7-I,0-R5TS,-0.22,30000210:30000223,40014204:40014206:40014212:40014220:40014241:40014277:40014280
30000223,19,Vale of the Silent,OSJ7-I,H-UCD1,-0.17,30000222:30000224,40014284:40014286:40014289:40014291:40014318:40014328
30000224,18,Vale of the Silent,OSJ7-I,7-K5EL,-0.15,30000223:30000225,40014331:40014333:40014335:40014358:40014377:40014401:40014418
30000225,17,Vale of the Silent,OSJ7-I,H-5GUI,-0.14,30000224:30000226:30000274:30002421,40014420:40014422:40014424:40014425:40014428:40014448:40014476:40014496:40014499
30000226,18,Vale of the Silent,OSJ7-I,FH-TTC,-0.14,30000225:30000227:30000280,40014506:40014507:40014508:40014511:40014514:40014518:40014534
30000227,19,Vale of the Silent,OSJ7-I,FMBR-8,-0.14,30000226:30000295,40014571:40014573:40014575:40014576:40014579:40014593:40014612:40014623:40014628:40014638
30000228,17,Vale of the Silent,DMXN-3,3HX-DL,-0.42,30000232:30000233:30000235,40014641:40014642:40014645:40014649:40014652:40014656:40014671:40014677
30000229,14,Vale of the Silent,DMXN-3,UH-9ZG,-0.46,30000230:30000231:30000247,40014682:40014684:40014687:40014688:40014691:40014695
30000230,15,Vale of the Silent,DMXN-3,NFM-0V,-0.50,30000229:30000232,40014701:40014702:40014704:40014705:40014707:40014710:40014727:40014748
30000231,15,Vale of the Silent,DMXN-3,YXIB-I,-0.51,30000229,40014756:40014758:40014762:40014780:40014798:40014821:40014832:40014834:40014842
30000232,16,Vale of the Silent,DMXN-3,MY-T2P,-0.38,30000228:30000230:30000234:30000237,40014845:40014846:40014847:40014848:40014851:40014853:40014874:40014897:40014901
30000233,18,Vale of the Silent,DMXN-3,FA-DMO,-0.39,30000228:30000235:30000236,40014905:40014907:40014909:40014911:40014914:40014917:40014920:40014923:40014928:40014952:40014972:40015001:40015005
30000234,17,Vale of the Silent,DMXN-3,GEKJ-9,-0.39,30000232,40015010:40015011:40015013:40015030:40015054:40015080:40015087
30000235,18,Vale of the Silent,DMXN-3,Q-R3GP,-0.36,30000228:30000233,40015093:40015095:40015097:40015098:40015100:40015103:40015106:40015122:40015127:40015130:40015156
30000236,19,Vale of the Silent,DMXN-3,N-5QPW,-0.39,30000233,40015162:40015163:40015164:40015166:40015168:40015172:40015175:40015192:40015217
30000237,17,Vale of the Silent,DMXN-3,XV-8JQ,-0.39,30000232,40015222:40015223:40015226:40015228:40015231:40015260:40015283
30000238,16,Vale of the Silent,I89-EP,WBR5-R,-0.52,30000239:30000242:30000243:30000263,40015291:40015293:40015296:40015300:40015304
30000239,15,Vale of the Silent,I89-EP,4GYV-Q,-0.54,30000238:30000240,40015309:40015310:40015311:40015313:40015315:40015317:40015319:40015322:40015325:40015334:40015339:40015358
30000240,14,Vale of the Silent,I89-EP,4-HWWF,-0.47,30000239:30000241:30000242:30000243,40015363:40015364:40015366:40015368:40015381:40015403:40015426
30000241,13,Vale of the Silent,I89-EP,YMJG-4,-0.42,30000240:30000253,40015457:40015459:40015461:40015463:40015466:40015476:40015480:40015483
30000242,15,Vale of the Silent,I89-EP,8TPX-N,-0.44,30000209:30000238:30000240,40015487:40015488:40015490:40015492:40015494:40015497:40015500:40015522
30000243,15,Vale of the Silent,I89-EP,PM-DWE,-0.42,30000238:30000240,40015530:40015532:40015533:40015534:40015535:40015538:40015541:40015545
30000244,12,Vale of the Silent,Z-DO53,K8X-6B,-0.43,30000245:30000246:30000247:30000249,40015550:40015552:40015554:40015568:40015577:40015597:40015624
30000245,13,Vale of the Silent,Z-DO53,X445-5,-0.41,30000244:30000247,40015630:40015631:40015632:40015634:40015636:40015639:40015641:40015643:40015646
30000246,12,Vale of the Silent,Z-DO53,KRUN-N,-0.39,30000244:30000249:30000253,40015651:40015653:40015655:40015659:40015662:40015665:40015680:40015701:40015731
30000247,13,Vale of the Silent,Z-DO53,9OO-LH,-0.47,30000229:30000244:30000245:30000864,40015736:40015738:40015740:40015743:40015745:40015749:40015753:40015759
30000248,13,Vale of the Silent,Z-DO53,V-OJEN,-0.32,30000251:30000253,40015766:40015768:40015770:40015772:40015790:40015796:40015815:40015820:40015831:40015836
30000249,11,Vale of the Silent,Z-DO53,EIDI-N,-0.41,30000244:30000246:30000252:30000253,40015840:40015841:40015843:40015844:40015847:40015848:40015851:40015855
30000250,9,Vale of the Silent,Z-DO53,P3EN-E,-0.27,30000205:30000252,40015860:40015861:40015862:40015863:40015865:40015867:40015870:40015872:40015876:40015881
30000251,14,Vale of the Silent,Z-DO53,49-0LI,-0.32,30000215:30000248,40015914:40015915:40015917:40015918:40015921:40015927:40015930:40015934
30000252,10,Vale of the Silent,Z-DO53,IPAY-2,-0.34,30000249:30000250:30000256,40015942:40015944:40015946:40015950:40015952:40015959:40015963
30000253,12,Vale of the Silent,Z-DO53,DAYP-G,-0.39,30000241:30000246:30000248:30000249,40015967:40015968:40015981:40015997
30000254,12,Vale of the Silent,YUT3-U,IFJ-EL,-0.29,30000255:30000256:30000257:30000260,40016008:40016009:40016010:40016012:40016030:40016033:40016057
30000255,13,Vale of the Silent,YUT3-U,47L-J4,-0.26,30000254:30000257:30000258:30000259,40016088:40016089:40016092:40016093:40016094:40016097:40016099:40016102
30000256,11,Vale of the Silent,YUT3-U,Q-L07F,-0.32,30000252:30000254,40016108:40016110:40016112:40016123:40016125:40016150:40016174
30000257,13,Vale of the Silent,YUT3-U,E-D0VZ,-0.27,30000254:30000255,40016178:40016180:40016181:40016184:40016188:40016189:40016192:40016193
30000258,14,Vale of the Silent,YUT3-U,6WW-28,-0.23,30000255,40016197:40016199:40016201:40016204:40016216:40016219
30000259,14,Vale of the Silent,YUT3-U,A8A-JN,-0.27,30000255:30000260,40016244:40016246:40016248:40016252:40016259:40016264:40016281:40016308
30000260,13,Vale of the Silent,YUT3-U,S-NJBB,-0.28,30000254:30000259,40016315:40016317:40016318:40016320:40016327:40016330:40016334:40016363:40016370
30000261,18,Vale of the Silent,5YHF-H,T-GCGL,-0.73,30000262:30000263:30000264,40016381:40016383:40016385:40016387:40016390:40016394:40016412:40016431:40016459:40016484:40016486:40016512
30000262,18,Vale of the Silent,5YHF-H,0MV-4W,-0.66,30000261:30000263,40016515:40016517:40016519:40016521:40016526:40016533:40016556:40016595:40016607
30000263,17,Vale of the Silent,5YHF-H,TVN-FM,-0.65,30000238:30000261:30000262:30000265,40016610:40016611:40016612:40016614:40016617:40016620:40016625:40016628:40016649:40016652
30000264,19,Vale of the Silent,5YHF-H,V-NL3K,-0.76,30000261:30000301,40016658:40016660:40016662:40016665:40016670:40016672:40016686:40016709:40016725:40016732:40016740:40016742
30000265,18,Vale of the Silent,5YHF-H,AZBR-2,-0.71,30000263:30000266,40016745:40016746:40016748:40016750:40016751:40016753:40016756:40016759:40016764:40016779:40016784
30000266,17,Vale of the Silent,5YHF-H,Z-8Q65,-0.77,30000265:30000267,40016799:40016801:40016805:40016812:40016837:40016851:40016860
30000267,16,Vale of the Silent,5YHF-H,0J3L-V,-0.79,30000266:30000871,40016866:40016867:40016868:40016869:40016870:40016872:40016874:40016877:40016883:40016891:40016895:40016902:40016906
30000268,20,Vale of the Silent,UK-MI6,H-NOU5,-0.14,30000213:30000269,40016911:40016912:40016914:40016916:40016917:40016919:40016923:40016926:40016929:40016938:40016940
30000269,21,Vale of the Silent,UK-MI6,KX-2UI,-0.16,30000268:30000270:30000271,40016973:40016974:40016977:40016978:40016982:40016985:40016989:40016998:40017000:40017004
30000270,22,Vale of the Silent,UK-MI6,MO-FIF,-0.11,30000269:30000272,40017010:40017011:40017012:40017013:40017017:40017019:40017022:40017023:40017026
30000271,22,Vale of the Silent,UK-MI6,97-M96,-0.19,30000269,40017030:40017032:40017034:40017037:40017040:40017043:40017047:40017060
30000272,23,Vale of the Silent,UK-MI6,MA-XAP,-0.10,30000270:30000273,40017093:40017094:40017096:40017098:40017101:40017109:40017127:40017152
30000273,24,Vale of the Silent,UK-MI6,C-J7CR,-0.09,30000272,40017161:40017162:40017164:40017166:40017172:40017173:40017176:40017178:40017200:40017205
30000274,18,Vale of the Silent,YDS0-Y,Q-EHMJ,-0.15,30000225:30000275,40017210:40017212:40017213:40017215:40017234:40017236:40017240:40017258:40017275
30000275,19,Vale of the Silent,YDS0-Y,XSQ-TF,-0.16,30000274:30000276,40017278:40017280:40017282:40017284:40017290:40017295:40017316:40017341:40017346:40017372:40017399:40017404
30000276,20,Vale of the Silent,YDS0-Y,H-1EOH,-0.17,30000275:30000277,40017407:40017408:40017409:40017410:40017412:40017414:40017417:40017421
30000277,21,Vale of the Silent,YDS0-Y,IR-DYY,-0.16,30000276:30000278:30000279,40017426:40017428:40017430:40017433:40017437:40017442
30000278,22,Vale of the Silent,YDS0-Y,C-DHON,-0.12,30000277,40017455:40017457:40017458:40017460:40017462:40017465:40017476:40017485
30000279,22,Vale of the Silent,YDS0-Y,F-D49D,-0.19,30000277,40017495:40017497:40017498:40017501:40017506:40017508:40017512:40017531:40017535:40017540:40017556
30000280,19,Vale of the Silent,A3-T8B,MQ-O27,-0.13,30000226:30000281,40017560:40017561:40017562:40017564:40017568:40017591:40017595
30000281,20,Vale of the Silent,A3-T8B,H-EY0P,-0.16,30000280:30000282,40017600:40017601:40017602:40017605:40017607:40017610:40017612
30000282,21,Vale of the Silent,A3-T8B,UNAG-6,-0.22,30000281:30000283:30000287,40017619:40017621:40017624:40017627:40017630:40017632:40017635:40017638:40017655:40017679
30000283,20,Vale of the Silent,A3-T8B,E-SCTX,-0.21,30000282:30000284:30000286,40017707:40017709:40017711:40017715:40017736:40017754:40017773:40017798:40017823
30000284,19,Vale of the Silent,A3-T8B,S6QX-N,-0.22,30000283:30000285:30000286,40017827:40017829:40017846:40017851:40017876:40017903:40017908
30000285,18,Vale of the Silent,A3-T8B,IT-YAU,-0.16,30000284:30000288,40017915:40017917:40017919:40017921:40017924:40017927:40017931:40017937:40017945:40017962
30000286,20,Vale of the Silent,A3-T8B,1VK-6B,-0.17,30000283:30000284:30000323,40017967:40017968:40017971:40017972
30000287,22,Vale of the Silent,A3-T8B,7-PO3P,-0.26,30000282,40017978:40017980:40017982:40017984:40017987:40017994:40018012:40018033:40018057
30000288,17,Vale of the Silent,A3-T8B,1W-0KS,-0.10,30000285:30002479,40018063:40018064:40018066:40018068:40018089:40018108:40018134
30000289,18,Vale of the Silent,DILJ-7,669-IX,-0.27,30000212:30000290:30000291,40018139:40018140:40018141:40018143:40018146:40018150:40018153:40018162:40018185
30000290,19,Vale of the Silent,DILJ-7,0R-F2F,-0.31,30000289:30000292:30000299,40018190:40018191:40018193:40018196:40018199:40018201:40018204:40018205
30000291,19,Vale of the Silent,DILJ-7,R-P7KL,-0.26,30000289:30000292:30000293,40018210:40018212:40018214:40018216:40018220:40018247:40018266:40018292
30000292,20,Vale of the Silent,DILJ-7,2DWM-2,-0.20,30000290:30000291:30000294,40018299:40018300:40018302:40018304:40018321:40018345:40018348:40018353
30000293,20,Vale of the Silent,DILJ-7,XF-PWO,-0.31,30000291,40018358:40018359:40018360:40018362:40018365:40018371:40018380:40018385
30000294,21,Vale of the Silent,DILJ-7,1N-FJ8,-0.22,30000292,40018415:40018416:40018417:40018419:40018421:40018422:40018443:40018463:40018493
30000295,20,Vale of the Silent,0-8MWQ,VI2K-J,-0.13,30000227:30000296:30000298,40018499:40018501:40018503:40018505:40018508:40018512:40018535:40018562:40018590
30000296,21,Vale of the Silent,0-8MWQ,ZLZ-1Z,-0.17,30000295:30000297:30000298,40018594:40018595:40018596:40018598:40018615:40018634:40018657:40018660
30000297,21,Vale of the Silent,0-8MWQ,6Y-WRK,-0.16,30000296:30000299,40018698:40018699:40018700:40018701:40018702:40018713:40018717:40018721:40018725:40018729:40018730:40018734
30000298,21,Vale of the Silent,0-8MWQ,RVCZ-C,-0.14,30000295:30000296:30000300,40018743:40018744:40018746:40018750:40018754:40018778
30000299,20,Vale of the Silent,0-8MWQ,5T-KM3,-0.17,30000290:30000297:30000307,40018784:40018786:40018788:40018791:40018792:40018796:40018800:40018825:40018831:40018835
30000300,22,Vale of the Silent,0-8MWQ,LS9B-9,-0.20,30000298,40018837:40018839:40018841:40018855:40018858:40018861:40018885:40018916:40018920
30000301,20,Vale of the Silent,F-V9QW,1-GBBP,-0.77,30000264:30000302:30000303:30000304,40018923:40018925:40018928:40018930:40018936:40018940:40018943:40018947
30000302,21,Vale of the Silent,F-V9QW,C-FP70,-0.76,30000301:30000303:30000304,40018951:40018953:40018955:40018957:40018959:40018961:40018970:40018987:40019018:40019028:40019032
30000303,21,Vale of the Silent,F-V9QW,T-ZWA1,-0.75,30000301:30000302:30000899,40019037:40019038:40019041:40019043:40019046:40019049:40019067:40019070:40019097:40019102
30000304,21,Vale of the Silent,F-V9QW,ZA0L-U,-0.81,30000301:30000302:30000305,40019105:40019107:40019108:40019109:40019126:40019145:40019172:40019178
30000305,22,Vale of the Silent,F-V9QW,G96R-F,-0.87,30000304:30000306,40019183:40019184:40019186:40019188:40019191:40019194:40019198:40019200:40019204
30000306,23,Vale of the Silent,F-V9QW,Y-ZXIO,-0.90,30000305,40019236:40019238:40019243:40019247:40019251:40019272:40019294
30000307,21,Vale of the Silent,E-8CSQ,B-E3KQ,-0.26,30000299:30000308:30000309,40019301:40019302:40019303:40019305:40019308:40019327:40019346:40019370:40019376:40019379
30000308,21,Vale of the Silent,E-8CSQ,Y5J-EU,-0.22,30000307:30000309:30000310:30000312:30000898,40019383:40019384:40019386:40019388:40019391:40019393:40019396:40019400
30000309,22,Vale of the Silent,E-8CSQ,O-LR1H,-0.25,30000307:30000308:30000310,40019405:40019407:40019409:40019411:40019414:40019416:40019418:40019421:40019424:40019448
30000310,22,Vale of the Silent,E-8CSQ,G5ED-Y,-0.27,30000308:30000309:30000311:30000312:30000313,40019454:40019456:40019458:40019459:40019465:40019470:40019489:40019493
30000311,23,Vale of the Silent,E-8CSQ,BR-6XP,-0.25,30000310:30000312:30000313:30000314,40019527:40019528:40019530:40019532:40019535:40019548:40019557:40019568:40019605
30000312,22,Vale of the Silent,E-8CSQ,8-TFDX,-0.19,30000308:30000310:30000311:30000313,40019610:40019611:40019614:40019618:40019626
30000313,23,Vale of the Silent,E-8CSQ,UL-4ZW,-0.41,30000310:30000311:30000312:30000320,40019633:40019634:40019636:40019639:40019640:40019644:40019650:40019657:40019660
30000314,24,Vale of the Silent,9KX-M0,A-QRQT,-0.13,30000311:30000315,40019662:40019664:40019665:40019667:40019678:40019681:40019688:40019714
30000315,24,Vale of the Silent,9KX-M0,WMBZ-U,-0.09,30000314:30000316,40019746:40019747:40019749:40019752:40019755:40019757:40019759:40019786:40019788
30000316,23,Vale of the Silent,9KX-M0,PX5-LR,-0.17,30000315:30000317,40019795:40019807:40019809:40019833:40019850:40019867
30000317,22,Vale of the Silent,9KX-M0,A3-RQ3,-0.30,30000316:30000318:30000319,40019902:40019903:40019904:40019905:40019906:40019908:40019917:40019921
30000318,21,Vale of the Silent,9KX-M0,9-GBPD,-0.16,30000317:30000319:30002470,40019928:40019930:40019932:40019934:40019937:40019940:40019958:40019981
30000319,22,Vale of the Silent,9KX-M0,LS-JEP,-0.24,30000317:30000318,40020013:40020014:40020016:40020018:40020023:40020027:40020031:40020054:40020059
30000320,22,Vale of the Silent,88G-M4,R-RSZZ,-0.44,30000313:30000321:30000322:30000323,40020086:40020087:40020089:40020091:40020093:40020096:40020105:40020129:40020148:40020181
30000321,22,Vale of the Silent,88G-M4,MGAM-4,-0.58,30000320:30000322:30000323:30000324,40020188:40020191:40020192:40020195:40020200
30000322,22,Vale of the Silent,88G-M4,VORM-W,-0.56,30000320:30000321:30000323:30000324,40020206:40020207:40020208:40020210:40020211:40020214:40020216:40020237:40020257
30000323,21,Vale of the Silent,88G-M4,7G-H7D,-0.36,30000286:30000320:30000321:30000322,40020259:40020260:40020262:40020263:40020265:40020266:40020287:40020312:40020319
30000324,23,Vale of the Silent,88G-M4,Q3-BAY,-0.81,30000321:30000322:30000325,40020346:40020348:40020350:40020352:40020364:40020383:40020414
30000325,24,Vale of the Silent,88G-M4,JZV-F4,-0.85,30000324,40020419:40020422:40020424:40020447:40020472
